category,location_type,context,persistent_id,id,location_subtype,month,latitude,longitude,outcome_category,outcome_date
anti-social-behaviour,Force,,,116208627,,2024-01,52.631624,-1.125641,Unknown,Unknown
anti-social-behaviour,Force,,,116208914,,2024-01,52.627703,-1.123030,Unknown,Unknown
anti-social-behaviour,Force,,,116208916,,2024-01,52.624092,-1.113810,Unknown,Unknown
anti-social-behaviour,Force,,,116208626,,2024-01,52.627703,-1.123030,Unknown,Unknown
anti-social-behaviour,Force,,,116208923,,2024-01,52.625551,-1.152191,Unknown,Unknown
anti-social-behaviour,Force,,,116208648,,2024-01,52.636041,-1.133444,Unknown,Unknown
anti-social-behaviour,Force,,,116208998,,2024-01,52.632805,-1.124819,Unknown,Unknown
anti-social-behaviour,Force,,,116208928,,2024-01,52.639558,-1.132473,Unknown,Unknown
anti-social-behaviour,Force,,,116208934,,2024-01,52.639558,-1.132473,Unknown,Unknown
anti-social-behaviour,Force,,,116208937,,2024-01,52.636041,-1.133444,Unknown,Unknown
anti-social-behaviour,Force,,,116208763,,2024-01,52.627379,-1.125445,Unknown,Unknown
anti-social-behaviour,Force,,,116208943,,2024-01,52.625551,-1.152191,Unknown,Unknown
anti-social-behaviour,Force,,,116208570,,2024-01,52.627137,-1.117058,Unknown,Unknown
anti-social-behaviour,Force,,,116208564,,2024-01,52.624402,-1.109534,Unknown,Unknown
anti-social-behaviour,Force,,,116208948,,2024-01,52.634503,-1.149403,Unknown,Unknown
anti-social-behaviour,Force,,,116208949,,2024-01,52.634392,-1.140229,Unknown,Unknown
anti-social-behaviour,Force,,,116209038,,2024-01,52.636041,-1.133444,Unknown,Unknown
anti-social-behaviour,Force,,,116208951,,2024-01,52.635078,-1.139462,Unknown,Unknown
anti-social-behaviour,Force,,,116209037,,2024-01,52.633502,-1.131662,Unknown,Unknown
anti-social-behaviour,Force,,,116208737,,2024-01,52.634169,-1.128191,Unknown,Unknown
anti-social-behaviour,Force,,,116208955,,2024-01,52.621821,-1.138165,Unknown,Unknown
anti-social-behaviour,Force,,,116208606,,2024-01,52.642883,-1.124914,Unknown,Unknown
anti-social-behaviour,Force,,,116208554,,2024-01,52.622852,-1.150707,Unknown,Unknown
anti-social-behaviour,Force,,,116208738,,2024-01,52.634169,-1.128191,Unknown,Unknown
anti-social-behaviour,Force,,,116208973,,2024-01,52.632052,-1.146096,Unknown,Unknown
anti-social-behaviour,Force,,,116208725,,2024-01,52.632052,-1.146096,Unknown,Unknown
anti-social-behaviour,Force,,,116208974,,2024-01,52.637041,-1.131222,Unknown,Unknown
anti-social-behaviour,Force,,,116208557,,2024-01,52.624402,-1.109534,Unknown,Unknown
anti-social-behaviour,Force,,,116208652,,2024-01,52.635486,-1.128741,Unknown,Unknown
anti-social-behaviour,Force,,,116208698,,2024-01,52.627703,-1.123030,Unknown,Unknown
anti-social-behaviour,Force,,,116208776,,2024-01,52.640498,-1.136799,Unknown,Unknown
anti-social-behaviour,Force,,,116209086,,2024-01,52.623324,-1.146296,Unknown,Unknown
anti-social-behaviour,Force,,,116208653,,2024-01,52.625551,-1.152191,Unknown,Unknown
anti-social-behaviour,Force,,,116208758,,2024-01,52.616723,-1.122614,Unknown,Unknown
anti-social-behaviour,Force,,,116208619,,2024-01,52.634503,-1.149403,Unknown,Unknown
anti-social-behaviour,Force,,,116208620,,2024-01,52.632052,-1.146096,Unknown,Unknown
anti-social-behaviour,Force,,,116208603,,2024-01,52.636041,-1.133444,Unknown,Unknown
anti-social-behaviour,Force,,,116208820,,2024-01,52.632052,-1.146096,Unknown,Unknown
anti-social-behaviour,Force,,,116208784,,2024-01,52.625820,-1.140899,Unknown,Unknown
anti-social-behaviour,Force,,,116208896,,2024-01,52.635555,-1.129626,Unknown,Unknown
anti-social-behaviour,Force,,,116208788,,2024-01,52.627703,-1.123030,Unknown,Unknown
anti-social-behaviour,Force,,,116209064,,2024-01,52.636041,-1.133444,Unknown,Unknown
anti-social-behaviour,Force,,,116208899,,2024-01,52.636041,-1.133444,Unknown,Unknown
anti-social-behaviour,Force,,,116208589,,2024-01,52.637041,-1.131222,Unknown,Unknown
anti-social-behaviour,Force,,,116208978,,2024-01,52.628462,-1.126029,Unknown,Unknown
anti-social-behaviour,Force,,,116209079,,2024-01,52.634169,-1.128191,Unknown,Unknown
anti-social-behaviour,Force,,,116208610,,2024-01,52.626768,-1.123078,Unknown,Unknown
